Title,Description,Start Date,End Date
Programação Concorrente e Distribuída - Concurrent and Parallel P," rogrammingSemestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Prog ramação Concorrente e Distribuída\nCódigo: L5096\nTurno: L5096T03\nIníci o: 2022-11-28 16:00\nFim: 2022-11-28 17:30\nDocente: Luís Henrique Ramil o Mota\n\nSemester: 2022/2023 - 1.º Semestre\nExecution course: Concurre nt and Parallel Programming\nCode: L5096\nShift: L5096T03\nBegin: 2022-1 1-28 16:00\nEnd: 2022-11-28 17:30\nTeacher: Luís Henrique Ramilo Mota\n\ nLOCATION:Auditório B1.03\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Mon Nov 28 16:00:00 GMT 2022,Mon Nov 28 17:30:00 GMT 2022
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDTP04\nInício: 2023-04-20 14:30\nFim: 2023-04-20 16:00\nDoce nte: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre \nExecution course: Distributed Information Systems Integration Project\ nCode: 03729\nShift: PISIDTP04\nBegin: 2023-04-20 14:30\nEnd: 2023-04-20  16:00\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:C5.01\, 5\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Thu Apr 20 13:30:00 BST 2023,Thu Apr 20 15:00:00 BST 2023
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-03-22 16:00\nFim: 2023-03-22 17:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-03-22 16:00\nEnd: 2023-03-22 17:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.07\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed Mar 22 16:00:00 GMT 2023,Wed Mar 22 17:30:00 GMT 2023
Interacção Pessoa-Máquina - Human-Computer Interaction,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Inte racção Pessoa-Máquina\nCódigo: L5316\nTurno: L5316T02\nInício: 2023-04-1 4 14:30\nFim: 2023-04-14 16:00\nDocente: Pedro Cláudio de Faria Lopes\n\ nSemester: 2022/2023 - 2.º Semestre\nExecution course: Human-Computer In teraction\nCode: L5316\nShift: L5316T02\nBegin: 2023-04-14 14:30\nEnd: 2 023-04-14 16:00\nTeacher: Pedro Cláudio de Faria Lopes\n\nLOCATION:C6.10\, 6\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Fri Apr 14 13:30:00 BST 2023,Fri Apr 14 15:00:00 BST 2023
Agentes Autónomos - Autonomous Agents,"Semestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Agen tes Autónomos\nCódigo: 03727\nTurno: 03727TP03\nInício: 2022-09-20 13:00 \nFim: 2022-09-20 14:30\nDocente: Susana Isabel de Carvalho Polido\n\nSe mester: 2022/2023 - 1.º Semestre\nExecution course: Autonomous Agents\nC ode: 03727\nShift: 03727TP03\nBegin: 2022-09-20 13:00\nEnd: 2022-09-20 1 4:30\nTeacher: Susana Isabel de Carvalho Polido\n\nLOCATION:C4.02\, 4\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Tue Sep 20 12:00:00 BST 2022,Tue Sep 20 13:30:00 BST 2022
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDPL05\nInício: 2023-04-20 16:00\nFim: 2023-04-20 17:30\nDoce nte: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre \nExecution course: Distributed Information Systems Integration Project\ nCode: 03729\nShift: PISIDPL05\nBegin: 2023-04-20 16:00\nEnd: 2023-04-20  17:30\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:D1.11\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Thu Apr 20 15:00:00 BST 2023,Thu Apr 20 16:30:00 BST 2023
Engenharia de Software - Software Engineering,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Enge nharia de Software\nCódigo: 03712\nTurno: EngST01\nInício: 2023-03-27 13 :00\nFim: 2023-03-27 14:30\nDocente: Vítor Manuel Basto Fernandes\n\nSem ester: 2022/2023 - 2.º Semestre\nExecution course: Software Engineering\ nCode: 03712\nShift: EngST01\nBegin: 2023-03-27 13:00\nEnd: 2023-03-27 1 4:30\nTeacher: Vítor Manuel Basto Fernandes\n\nLOCATION:Auditório 0NE02-Caiano Pereira\, 0\, Edifício Sedas Nunes (ISCTE -IUL)\, ISCTE-IUL",Mon Mar 27 12:00:00 BST 2023,Mon Mar 27 13:30:00 BST 2023
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDT01\nInício: 2023-04-24 14:30\nFim: 2023-04-24 16:00\nDocen te: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre\ nExecution course: Distributed Information Systems Integration Project\n Code: 03729\nShift: PISIDT01\nBegin: 2023-04-24 14:30\nEnd: 2023-04-24 1 6:00\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:Auditório B1.04\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Mon Apr 24 13:30:00 BST 2023,Mon Apr 24 15:00:00 BST 2023
Interacção Pessoa-Máquina - Human-Computer Interaction,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Inte racção Pessoa-Máquina\nCódigo: L5316\nTurno: L5316T02\nInício: 2023-04-2 8 14:30\nFim: 2023-04-28 16:00\nDocente: Pedro Cláudio de Faria Lopes\n\ nSemester: 2022/2023 - 2.º Semestre\nExecution course: Human-Computer In teraction\nCode: L5316\nShift: L5316T02\nBegin: 2023-04-28 14:30\nEnd: 2 023-04-28 16:00\nTeacher: Pedro Cláudio de Faria Lopes\n\nLOCATION:C6.10\, 6\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Fri Apr 28 13:30:00 BST 2023,Fri Apr 28 15:00:00 BST 2023
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-03-10 13:00\nFim: 2023-03-10 14:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-03-10 13:00\nEnd: 2023-03-10 14:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.05\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Fri Mar 10 13:00:00 GMT 2023,Fri Mar 10 14:30:00 GMT 2023
